FID,Join_Count,TARGET_FID,biosum_con,ID,biosum_plo,lat,lon,Id_1,gridcode,prob
1505,1,1505,1.20131E+24,1506,1.20131E+23,37.349547,-122.223511,128093,7707,0.7707
1506,1,1506,1.20131E+24,1507,1.20131E+23,37.107373,-121.294076,136636,4964,0.4964
1507,1,1507,1.20131E+24,1508,1.20131E+23,37.152028,-122.044831,134792,6921,0.6921
1508,1,1508,1.20131E+24,1509,1.20131E+23,37.062934,-121.921841,137443,5996,0.5996
1509,1,1509,1.20131E+24,1510,1.20131E+23,37.023407,-121.743203,138850,6946,0.6946
1510,1,1510,1.20131E+24,1511,1.20131E+23,41.12696,-121.77788,25902,1381,0.1381
1511,1,1511,1.20131E+24,1512,1.20131E+23,40.694328,-121.395278,39531,2883,0.2883
1512,1,1512,1.20131E+24,1513,1.20131E+23,40.802952,-122.030121,35416,8026,0.8026
1513,1,1513,1.20131E+24,1514,1.20131E+23,40.643368,-121.584789,41039,3785,0.3785
1514,1,1514,1.20131E+24,1515,1.20131E+23,40.993667,-121.774436,29759,8212,0.8212
1515,1,1515,1.20131E+24,1516,1.20131E+23,40.48798,-121.694347,45905,2083,0.2083
1516,1,1516,1.20131E+24,1517,1.20131E+23,40.48798,-121.694347,45905,2083,0.2083
1517,1,1517,1.20131E+24,1518,1.20131E+23,40.775525,-121.585079,36661,1601,0.1601
1518,1,1518,1.20131E+24,1519,1.20131E+23,40.872709,-122.54883,33005,4576,0.4576
1519,1,1519,1.20131E+24,1520,1.20131E+23,41.106112,-121.622685,26522,3322,0.3322
1520,1,1520,1.20131E+24,1521,1.20131E+23,40.638033,-121.551246,41041,3515,0.3515
1521,1,1521,1.20131E+24,1522,1.20131E+23,40.759642,-122.69096,36593,3915,0.3915
1522,1,1522,1.20131E+24,1523,1.20131E+23,41.088424,-122.100833,26784,6856,0.6856
